"study","group","trial","condition","Respembed","Respdelay","Respradius","HRembed","HRdelay","HRradius","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT"
"2","5","2","TurnTaking",2,49,0.745287154642566,NA,NA,NA,3.27941639279333,82.1095683167301,33944,15,3.7734503888758,1.69232077945123,86.1199789735503,4.23377769373799,11.7045723669193,96.5939130766008,136703,69,4.6375719625758,2.12322450413157,98.4934293223632,5.80128331688055
"2","5","3","Conversation",2,7,0.378633559775181,NA,NA,NA,0.176590751563932,63.297619047619,1909,9,2.78522786799371,1.21837555063983,73.8095238095238,3.29787234042553,12.9885844195124,97.2519136374558,136561,74,5.18676635349771,2.28296653534153,98.8418631792126,6.3940206771592
"2","6","1","TurnTaking",2,33,0.74036276248302,NA,NA,NA,0.172428255277068,69.9463545476713,2009,10,2.85564957690393,1.27671491134725,81.1631309436723,3.32351472790814,12.6547056188367,96.5779456963964,138762,70,4.93881610239115,2.211255636027,98.5745550681156,6.55049445609829
"2","6","2","Conversation",3,41,0.680741675263421,NA,NA,NA,0.145224870452814,73.6103068905617,1747,14,2.9107040641099,1.29360366681409,88.9548349739432,5.04515599343186,15.3948765065741,95.7076463992141,160959,70,5.13299660161905,2.27108850123868,97.3104154503415,6.40131373400696
"2","6","3","Synchronous",2,48,0.758545783208596,NA,NA,NA,1.20819608132509,79.5148857684745,13150,13,3.47513307984791,1.62044896560526,98.5157731725566,14.1474262868566,11.2472857411888,96.4460751280754,108536,79,5.60430640524803,2.35585847213555,97.6929772960425,7.54584088571009
"2","7","1","Conversation",2,25,0.682423662906201,NA,NA,NA,0.609132979352967,88.0655737704918,4457,109,5.72515144716177,2.23102120907422,93.1803278688525,8.52779532533165,14.1157329996804,95.6843021544378,146999,66,5.15220511704161,2.27874176466165,98.7706072677059,8.28816775684587
"2","7","2","Synchronous",NA,NA,NA,NA,NA,NA,1.86042561314306,94.5703760621949,11804,212,7.09005421890884,2.39317653909499,97.2123033809438,10.9201574003554,12.7538420493974,95.4859178759498,144529,70,4.72485798697839,2.15731982849971,97.9898260813634,7.75162878159394
"2","7","3","TurnTaking",NA,NA,NA,NA,NA,NA,0.636840909181689,94.9361238569967,4384,123,6.55999087591241,2.36269871826638,97.4152444459116,9.74248927038627,10.60913175105,97.5046184310278,112154,66,5.17194215097098,2.28052378431736,99.4153629439619,12.3606704704579
"2","8","1","TurnTaking",3,43,0.748650208352983,11,38,1.79819923247148,5.78923347210423,97.1315999709492,25689,290,10.412277628557,2.88201208710168,97.9671726341782,15.1887174867695,13.4297138935811,97.2362132682479,147493,59,4.96462882984278,2.21159763779431,99.0130945567491,7.49835577590281
"2","8","2","Synchronous",NA,NA,NA,11,22,1.65233126055593,8.1634961268813,95.9947774761922,38992,256,9.5600379565039,2.83270922910103,97.2347405991996,13.5241233568538,13.8104769676771,92.4900440592346,158215,40,4.52709287994185,2.07992204469115,94.7046275109373,5.43834255290751
"2","8","3","Conversation",3,46,0.704660822135904,10,49,1.99303367873744,5.57261548351914,97.9515308817094,16334,399,15.8960450593853,2.98049721394971,98.9957597066502,30.3825402338775,13.5241244464481,94.5507051446882,170207,45,4.21269395500773,1.98126742994808,97.7037139598209,6.098129264298
"2","9","1","Synchronous",NA,NA,NA,NA,NA,NA,0.544677355032132,88.8224169207611,4547,109,5.06113921266769,2.09200209564276,91.8522521131653,6.08177868642985,15.200170345599,95.8146885390538,161273,42,5.06386685930069,2.2574883901885,98.9626181162872,8.99211121060936
"2","9","2","Conversation",NA,NA,NA,NA,NA,NA,0.238187287526113,89.6469549867608,2045,68,4.96674816625917,2.12756571984237,92.5154457193292,5.91869000564653,12.7767937648375,95.1150744854135,159365,52,4.27603928089605,2.00236016088985,98.156882066972,6.11442085311353
"2","9","3","TurnTaking",2,30,0.757641943317356,17,0,0.720540007700756,0.207220837876866,86.2026985898346,2159,28,3.93561834182492,1.83092917242828,91.4679922897433,4.96749311294766,12.5112707724616,95.4377387536348,157346,46,4.25529088759803,1.99702049700734,98.4410456696505,6.52220270474464
