"study","group","trial","condition","Respembed","Respdelay","Respradius","HRembed","HRdelay","HRradius","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","pair"
"2","urrogateGroup10&5b","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.427833141080664,82.0401945850327,4544,20,3.67429577464789,1.74459229840496,88.7327404058769,4.36605415860735,11.6662660073503,96.7505736215122,122998,61,5.14577472804436,2.28566557163796,98.4030315954245,6.82756353145814,"Surrogate"
"2","urrogateGroup10&5c_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,3.76182448519066,96.866006113747,18078,227,9.5880628388096,2.45699348312671,98.5207414734466,15.7955380342263,15.2794580898466,97.6373274944443,131574,97,6.35795065894478,2.5614586065908,98.5655661170143,7.83578599662256,"Surrogate"
"2","urrogateGroup10&5c","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.523255215050746,91.1169144234632,4572,40,4.96041119860018,2.17310189599737,94.9658497388509,8.07274590163934,12.7256651182432,98.0810894893649,118236,105,5.91942386413613,2.4766739327701,98.8284457847872,7.91255175199435,"Surrogate"
"2","urrogateGroup10&5d_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,0.676594850992093,76.9171016654238,8573,11,2.88755394844279,1.29148120202775,96.4019388516033,7.46176046176046,13.456446311176,96.5110793044953,129878,63,5.60706201204207,2.37405264048928,98.3371766327396,7.03750106698787,"Surrogate"
"2","urrogateGroup10&5d","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.498532509831795,76.8997216833938,5312,12,3.43298192771084,1.59664905433835,93.7378763599561,5.99487594390507,12.2189261949872,96.3997098517588,144856,49,4.55969376484233,2.09936068454207,98.5609347794041,6.93340794053327,"Surrogate"
"2","urrogateGroup10&6a_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,9.7649009483554,98.6561691995358,29584,392,15.4898255813953,2.76569360788743,99.5358379997115,35.6631440913298,13.2907374223886,96.4336319283801,121809,63,5.90013053222668,2.44215300789347,97.562890128115,7.3448659023183,"Surrogate"
"2","urrogateGroup10&6a","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.271781575740299,77.7923886138614,3237,17,3.1068890948409,1.42867850034139,82.6191212871287,3.33572767020612,13.551391869065,97.6045027925315,141117,59,5.25578775058994,2.30286410875642,98.5255644282548,6.46132336822846,"Surrogate"
"2","urrogateGroup10&6b_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,0.202217433249221,80.600894063832,2583,12,3.00154858691444,1.38289295254457,94.1781890009356,5.51369446135119,10.9970103919375,96.8333687397531,110944,68,5.38219281799827,2.31868334647598,98.1298923698895,6.85576225867851,"Surrogate"
"2","urrogateGroup10&6b","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.156598155761872,75.8759565042288,1627,14,3.47387830362631,1.65464945630933,90.7907101624379,4.98746312684366,11.9991282984843,96.5370770552373,127113,68,5.10995728210333,2.27210783281922,98.4593708478365,6.87137359844831,"Surrogate"
"2","urrogateGroup10&6c_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,0.516296698530786,82.3364143491184,5633,14,3.58973903781289,1.71711964726468,86.7136284050654,4.03639120545868,11.7186608324963,98.1108329592233,100863,118,6.39184834875028,2.55582900279452,99.2174885674501,8.29313371323904,"Surrogate"
"2","urrogateGroup10&6c","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.248992959705144,81.7966903073286,2472,30,3.91909385113269,1.85317188620918,85.3005741303614,5.03890274314214,13.1407576812454,97.7317203586037,123292,88,5.84096291730202,2.45899929831286,98.5162677205106,7.706046580752,"Surrogate"
"2","urrogateGroup10&6d_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,3.96374760052061,96.3738291981797,23377,217,7.7729819908457,2.5268673509815,97.3274426399924,8.59799465867029,12.4270074815102,94.8976443490927,130497,91,5.06739618535292,2.2149147796535,98.0929488329375,6.9704781619979,"Surrogate"
"2","urrogateGroup10&6d","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.103284566956381,69.0413189497252,1150,11,2.9495652173913,1.33295102337283,91.71585589253,4.94078947368421,12.3279602184533,96.3440337576181,141889,59,4.69386633213286,2.14589915068319,98.4709546479652,6.92610040495716,"Surrogate"
"2","urrogateGroup10&7a_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,1.94525224201931,95.6587522019647,11897,199,7.44002689753719,2.47674814879108,98.0514638337422,10.982689747004,17.0173149025292,97.5282766368382,142125,129,6.54808795074758,2.59240807895559,98.4590765567739,8.38161721412386,"Surrogate"
"2","urrogateGroup10&7a","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.420664397475509,92.5887056471764,3179,78,5.82793331236238,2.32982163461137,96.3718140929535,9.07482352941176,14.3808279880387,98.9858555495205,103328,88,7.72506968101579,2.8129050754299,99.5259141313055,13.2937620088783,"Surrogate"
